report_path,page_id,visual_id,visual_type,style_variant,property_path,property_name,property_value,value_type,source_file
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,08c60e9651021e4efedd,slicer,Style 1,data.mode,mode,Dropdown,string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/08c60e9651021e4efedd/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,08c60e9651021e4efedd,slicer,Style 1,header.show,show,true,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/08c60e9651021e4efedd/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,08c60e9651021e4efedd,slicer,Style 1,selection.selectAllCheckboxEnabled,selectAllCheckboxEnabled,true,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/08c60e9651021e4efedd/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,08c60e9651021e4efedd,slicer,Style 1,selection.singleSelect,singleSelect,false,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/08c60e9651021e4efedd/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,08c60e9651021e4efedd,slicer,Style 1,visualHeader.show,show,false,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/08c60e9651021e4efedd/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,background.show,show,true,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,background.transparency,transparency,0,integer,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,columnHeaders.alignment,alignment,Center,string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,columnHeaders.backColor.solid.color,color,"ThemeDataColor(ColorId=3,Percent=0)",string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,columnHeaders.fontColor.solid.color,color,"ThemeDataColor(ColorId=0,Percent=0)",string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,columnHeaders.fontFamily,fontFamily,"''Segoe UI Semibold'', wf_segoe-ui_semibold, helvetica, arial, sans-serif",string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,columnHeaders.fontSize,fontSize,12,integer,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,values.fontFamily,fontFamily,Calibri,string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,values.fontSize,fontSize,12,integer,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,111e917238e703a0c373,slicer,Style 1,data.mode,mode,Dropdown,string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/111e917238e703a0c373/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,111e917238e703a0c373,slicer,Style 1,header.show,show,true,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/111e917238e703a0c373/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,111e917238e703a0c373,slicer,Style 1,selection.selectAllCheckboxEnabled,selectAllCheckboxEnabled,true,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/111e917238e703a0c373/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,111e917238e703a0c373,slicer,Style 1,selection.singleSelect,singleSelect,false,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/111e917238e703a0c373/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,111e917238e703a0c373,slicer,Style 1,visualHeader.show,show,false,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/111e917238e703a0c373/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,background.show,show,true,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,background.transparency,transparency,0,integer,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,columnHeaders.alignment,alignment,Center,string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,columnHeaders.backColor.solid.color,color,"ThemeDataColor(ColorId=3,Percent=0)",string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,columnHeaders.fontColor.solid.color,color,"ThemeDataColor(ColorId=0,Percent=0)",string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,columnHeaders.fontFamily,fontFamily,"''Segoe UI Semibold'', wf_segoe-ui_semibold, helvetica, arial, sans-serif",string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,columnHeaders.fontSize,fontSize,12,integer,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,values.fontFamily,fontFamily,Calibri,string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,values.fontSize,fontSize,12,integer,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,fill[id=default].fillColor.solid.color,color,"ThemeDataColor(ColorId=0,Percent=0)",string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,fill.show,show,true,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,fill[id=default].transparency,transparency,0,integer,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,icon.show,show,false,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,outline.show,show,false,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,outline[id=default].weight,weight,1,integer,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,text.show,show,true,boolean,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/3.Sample Files/Spend Cube.Report,02604e232e37ce8027cd,2fc236f7d460d541ff95,slicer,Style 1,data.mode,mode,Dropdown,string,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/2fc236f7d460d541ff95/visual.json
